INDICE,COLOR,TIPO,TEXTO,FLAVOR
1,Roja,Personajes,El Pollo Brito,El profeta que bautiza toda canción con un '¡Epa!' sagrado.
2,Roja,Personajes,"Nagueboná, Vladimir",Frase que todos repiten y nadie sabe por qué.
3,Roja,Personajes,Miguel Cabrera,El titán que parte el cielo con un palo de madera.
4,Roja,Personajes,El Gocho,El santo que baja la montaña a 120 desafiando a la muerte.
5,Roja,Personajes,El Valenciano,Nace con camisa de marca y odio de fábrica.
6,Roja,Personajes,El Caraqueño,El que jura que tras el túnel acaba la civilización.
7,Roja,Personajes,El Oriental,"Vive de playa, pesca y 'a la orden, vale'."
8,Roja,Personajes,El Maracucho,El titán que forjó un idioma entero con una sola palabra.
9,Roja,Personajes,Maite Delgado,"Si ella no lo saluda, el evento no existió."
10,Roja,Personajes,Deyna Castellanos,La diosa que humilla estadios con un pie y una sonrisa.
11,Roja,Personajes,El bachaquero de la esquina,Te calcula tres tipos de dólar sin haber estudiado.
12,Roja,Espanto,El Silbón,"Si lo oyes cerca, ya es tarde para todo."
13,Roja,Espanto,La Sayona,La razón por la que los infieles duermen mal.
14,Roja,Personajes,El Doctor Knoche,El que embalsamaba gente por hobby.
15,Roja,Personajes,Ánima del Purgatorio,"Le rezas por el carro; si le fallas, te jala las patas."
16,Roja,Dichos,"""Quedar como novia de pueblo""",La tragedia eterna de aguardar lo que nunca vendrá.
17,Roja,Dichos,"""Ponerse las alpargatas""",El llamado a las armas cuando el destino se pone feo.
18,Roja,Dichos,"""Echarle Bolas""","Trabajar sin luz ni agua, sonriendo como un demente."
19,Roja,Dichos,"""Más perdido que el hijo de Lindbergh""",¿El hijo de quién?
20,Roja,Dichos,"""Matar un tigre""",La cacería sagrada para llegar vivo a fin de mes.
21,Roja,Comida,"Un perro caliente ""Con Todo"" a las 3:00 a.m.",14 salsas misteriosas y cero garantías de vida.
22,Roja,Comida,"La empanada ""Operada""",Empanada abierta pa' meterle lo que sea.
23,Roja,Comida,Queso guayanés derretido,Se estira hasta la boca del vecino sin romperse.
24,Roja,Comida,"Una arepa de ""Dominó""","La unión sagrada del grano y el queso, letal de noche."
25,Roja,Comida,"El ""Pegao"" de la olla de arroz",El oro crujiente del fondo por el que se libran guerras.
26,Roja,Musica,Mercedes,"La mujer que se la comió el caimán por floja, o no."
27,Roja,Musica,Venezuela,El himno que quiebra en llanto a todo desterrado.
