texto,pose
El Pollo Brito,cantando
1 y 1 es igual a 3,cantando
"Nagueboná, Vladimir",duo-vacile
Miguel Cabrera,accion
El Gocho,loco
El Valenciano,terco
El Oriental,loco
El Maracucho,rabia
Maite Delgado,presentando
Deyna Castellanos,accion
El bachaquero de la esquina,fastidioso
La Sayona,duo-espanto
El Doctor Knoche,duo-espanto
Ánima del Purgatorio,duo-espanto
"""Quedar como novia de pueblo""",cansado
"""Ponerse las alpargatas""",fisico
"""Echarle Bolas""",fisico
"""Más perdido que el hijo de Lindbergh""",loco
"""Matar un tigre""",fastidioso
"La empanada ""Operada""",comiendo
Queso guayanés derretido,comiendo
"El ""Pegao"" de la olla de arroz",comiendo
Venezuela,cantando
El Alma Llanera,cantando
"El ""Cumpleaños Feliz""",duo-espectadores
"Un ""bajón"" de luz justo cuando vas a guardar la tesis",rabia
"El ""Vuelto"" en caramelos",picaro
Quedarse sin agua a mitad del baño,cansado
"El pana que dice ""Voy saliendo""",presumido
Juego de dominó un domingo por la tarde,duo-espectadores
El olor a tierra mojada cuando empieza mayo,turista
"La ""Chola"" de tu mamá",cansado
El señor que vende helados en la playa,fastidioso
"""Háblame, chamo""",cool
Carro con los amortiguadores vencidos,cansado
"El ""Toque de queda"" de la abuela",terco
Lila Morillo,presentando
Oscar D'León,rumba
Una empanada de cazón en la playa,comiendo
La última papa frita del plato,comiendo
Un Toddy bien frío,objeto
Un autobús con la música a todo volumen,loco
La cola de la gasolina,cansado
La calor Maracucha,objeto
Bajón de luz,rabia
"El ""Te lo dije"" de tu Mamá",terco
La sifrina,terco
"""Malandro"" de cartón",fisico
Sugar daddy,fastidioso
La tía evangélica y chismosa,picaro
La bendecida y afortunada,presumido
Maracucho picado,rabia
Gocho despechado,cansado
El sabelotodo de la familia,presumido
Amigo de lo ajeno,picaro
El vecino fastidioso del condominio,terco
La que no rompe un plato,picaro
La tóxica,loco
"""Gastar pólvora en zamuro""",fastidioso
"""Chivo que se devuelve se esnuca""",duo-vacile
"""Morder el peine""",duo-vacile
Sacar el culo,presumido
"El ""rompe colchón""",duo-vacile
La salsita de ajo sospechosa del carrito callejero,comiendo
Anís con yogurt de fresa,comiendo
Una chicha con exceso de leche condensada,comiendo
Sopa de mondongo con pata de vaca,comiendo
El guayoyo amargo de oficina,comiendo
Vallenato cortavenas a las 4:00 a.m.,rumba
Sandy y Papo,rumba
Reguetón viejo (2006),rumba
La hora loca,rumba
Salsa brava,rumba
"El ""visto"" azul de WhatsApp",terco
Tarjeta rechazada por fondos insuficientes,cansado
Quedarse sin papel tualé en baño ajeno,cansado
Ir a un motel y encontrarte un conocido,picaro
La reunión de condominio,duo-espectadores
Revisar el teléfono de tu pareja mientras se baña,duo-espanto
Hacerse el dormido en el autobús para no dar el puesto,cansado
El pana que se vuelve insoportable con dos tragos,fastidioso
"""A la derecha ciudadano""",duo-espanto
Comer caraotas tres días seguidos,cansado
La rumba en el estacionamiento de una licorería,duo-vacile
Un tatuaje barato hecho en una sala,fastidioso
La previa,duo-conversa
"Ya te hice la transferencia, debe estar por caer",fastidioso
El gordito del grupo que siempre tiene calor,cansado
Un dolor de barriga repentino en plena calle,cansado
Ir a la playa y que llueva a los cinco minutos,cansado
El último trago,duo-conversa
Eladio Lárez,presumido
Valentina Quintero,presumido
Renny Ottolina,fastidioso
Daniel Sarcos,cool
Viviana Gibelli,cool
Mimí Lazo,terco
Norkys Batista,loco
Edgar Ramírez,presumido
La mujer de Judas,duo-espanto
Mi gorda bella,fastidioso
Voltea pa' que te enamores,presumido
Yulimar Rojas,accion
Salomón Rondón,accion
Juan Arango,accion
Greivis Vásquez,accion
Bob Abreu,accion
Rubén Limardo,accion
Pastor Maldonado,loco
Simón Díaz,cantando
Emilio Lovera,loco
Ricardo Montaner,cantando
Gustavo Dudamel,rumba
Dayana Mendoza,presumido
José Luis Rodríguez,cantando
Servando y Florentino,cantando
Winston Vallenilla,asco
Luis Chataing,cool
Juan Gabriel en el Teresa Carreño,cantando
Chino y Nacho,cantando
Reinaldo Armas,cantando
La Vinotinto de las Eliminatorias,duo-espectadores
Leones del Caracas,duo-espectadores
Navegantes del Magallanes,duo-espectadores
Roque Valero,cantando
Jeremías,cantando
Hany Kauam,cantando
Juan Guaidó,terco
Henrique Capriles,terco
Luis Aparicio,accion
La hallaca recalentada el 6 de enero,comiendo
La planta eléctrica del vecino,asco
El apagón nacional de marzo,cansado
"""Echarle los perros""",fastidioso
El buhonero de la avenida,objeto
Bajarse del carro en plena cola a buscar la causa del trancón,turista
La Llorona,duo-espanto
Andrés Galarraga,accion
El pabellón criollo,comiendo
El termo de Avon,objeto
Sabana Grande,turista
La quincena que dura dos días,duo-vacile
"""Estar pelando bola""",cansado
El guachimán del edificio,fastidioso
Tener tres canaimitas en la casa y ninguna prende,cansado
Omar Vizquel,accion
Las cholas,duo-espanto
El Metro de Caracas,cansado
El sancocho familiar del domingo,comiendo
"""Más sabe el diablo por viejo que por diablo""",duo-conversa
El motorizado kamikaze,fisico
Manejar con el brazo de afuera para que no se note que no hay aire,duo-vacile
El joropo recio,cantando
El Hachador del Monte,duo-espanto
Pablo Sandoval,accion
Una cachapa con queso de mano y cochino frito,comiendo
El velorio con cerveza y dominó,duo-conversa
"""Camarón que se duerme se lo lleva la corriente""",duo-conversa
La suegra que llega sin avisar,picaro
El Descabezado,duo-espanto
David Concepción,accion
La reina pepiada,comiendo
La batea de lavar,fisico
La Isla de Margarita,turista
La graduación con la promoción entera,duo-vacile
El fiebrúo del gym,fisico
El tío que llega a la fiesta y de una vez se mete en la cocina a opinar,fastidioso
El cuatro desafinado de la fiesta,cantando
La Dientona,presumido
José Altuve,accion
El Daewoo Tico,fastidioso
Los Roques,turista
El matriarcado decidiendo el menú navideño,cansado
"""Agarrar a alguien fuera de base""",duo-conversa
Las parrandas decembrinas del barrio,rumba
El Cucú,duo-espanto
Salvador Pérez,accion
El cachito de jamón recién horneado,comiendo
Montar la gaita desde octubre,cantando
"""Hacerse la vista gorda""",presumido
La doña de la junta de condominio,duo-conversa
Llamar a alguien por el nombre completo,terco
Radio Rochela,duo-vacile
El Coco,duo-espanto
Edgardo Alfonzo,accion
El pan canilla calientico,comiendo
El Teleférico de Mérida,turista
El viacrucis para conseguir efectivo,cansado
"""Estar como anillo al dedo""",presumido
El que se cuela en la fila del banco,fastidioso
Ponerle nombre al carro como si fuera familia,presentando
Sábado Sensacional,presentando
Antonio Armas,accion
La moto del bachaquero,objeto
El Salto Ángel,turista
La cola del banco que no avanza,rabia
"""Ir a pie de bola""",cool
El que se pone los lentes oscuros adentro del bautizo,cansado
Súper Sábado Sensacional,presentando
El culto a María Lionza en Sorte,cool
Ozzie Guillén,accion
Las mandocas zulianas,comiendo
El billete de un millón de bolívares,asco
El «ya casi llego» que son dos horas,fastidioso
"""Dejar a alguien plantado""",duo-conversa
Tapar el hueco del techo con un tobo y una ponchera,cansado
El Negro Felipe,duo-espanto
Francisco Rodríguez 'K-Rod',accion
Los bollitos pelones con guiso,comiendo
La cesta ticket,fastidioso
Maracaibo a mediodía,cansado
El primero de enero con la casa llena de hallacas,comiendo
"""Estar en la olla""",cansado
El gandolero de la autopista,loco
Comprar un solo cigarro y pedir el encendido prestado,picaro
Cásate y Verás,presentando
Félix Hernández,accion
El tobo de agua para cuando no hay,cool
