texto,pose
Chimbo,cansado
Burda e' bueno,picaro
Jalabola,fastidioso
Sabroso,presumido
Arrechísimo,picaro
Heavy,fastidioso
Flechao',fastidioso
Mosca,cool
Avispao',cool
Brutal,picaro
Enrollao',fisico
Salao',cansado
Cuadrao',asco
Fiebrúo',fastidioso
Pelao',terco
Sudao',fastidioso
Full,cansado
Cabezón,asco
Encaletao',terco
Mamadisimo,rabia
Ñoño,terco
Cuchi,picaro
Emperrao',asco
Chambón,fastidioso
Zoquete,fastidioso
Metío',fastidioso
Chorreao',terco
Apurao',terco
Migajero,fastidioso
Necio,asco
Aguao',terco
Soso,terco
Picante,presumido
Enano,terco
Gigante,cool
Flaco,terco
Gordo,cool
Feo,fisico
Viejo,cansado
Fofo,cansado
Mojoso,terco
Termonuclear,fisico
Retroactivo,terco
