texto,pose
Arrecho,rabia
Chévere,cool
Chimbo,cansado
Pavoso,asco
Ladilla,fastidioso
Sifrino,presumido
Rascado,rumba
Tieso,terco
Burda e' bueno,picaro
Jalabola,fastidioso
Echao pa' lante,cool
Pelando bola,cansado
Camburao',presumido
Enratonado,cansado
Fino,cool
Mamador de gallo,picaro
Bochinchero,rumba
Aguevoniao',terco
Sabroso,presumido
Cuaima,loco
Arrechísimo,picaro
Chimbísimo,asco
Heavy,fastidioso
Maluco,asco
Bravo,rabia
Picado,rabia
Templao',cool
Flechao',fastidioso
Mosca,cool
Avispao',cool
Brutal,picaro
Pelúo',terco
Enrollao',fisico
Embarrao',terco
Salao',cansado
Echón,presumido
Fanfarrón,presumido
Tripeao',rumba
Mamao',cansado
Fundío',cansado
Quedao',terco
Cuadrao',asco
Pesao',fastidioso
Emperifollao',presumido
Tóxico,loco
Intenso,loco
Zumbao',loco
Despelucao',fisico
Fiebrúo',fastidioso
Guapetón,presumido
Jarto,cansado
Prendío',rumba
Pelao',terco
Sudao',fastidioso
Verraco,rabia
Full,cansado
Choreto,fisico
Cabezón,asco
Mamalón,cansado
Pichirre,picaro
Encaletao',terco
Empatao',terco
Mamadisimo,rabia
Gafo,terco
Fajao',cool
Rendío',cansado
Trancao',terco
Ñoño,terco
Cuchi,picaro
Fufurufo,presumido
Jodío',terco
Roñoso,asco
Guisero,picaro
Ladillao',cansado
Espabilao',picaro
Mojonero,picaro
Achantao',cansado
Aplatanado,cansado
Guillao',presumido
Fantoche,presumido
Vacilón,rumba
Jodedor,picaro
Sinvergüenza,picaro
Mamón,fastidioso
Rochelero,rumba
Chalequeao',fastidioso
Guabinoso,picaro
Amuñuñao',fisico
Enguayabao',cansado
Encaramao',fisico
Emperrao',asco
Chambón,fastidioso
Zoquete,fastidioso
Metío',fastidioso
Bonchón,rumba
Alzao',rabia
Espeso,fastidioso
Pinchao',cansado
Descachalandrao',fisico
Chorreao',terco
Amargao',rabia
Fresco,picaro
Enfogonao',rabia
Apurao',terco
Cachaciento,cansado
Bullero,rumba
Baboso,fastidioso
Migajero,fastidioso
Embustero,picaro
Cuentero,picaro
Necio,asco
Bragao',cool
Aguerrido,cool
Nervioso,terco
Relajao',cool
Rabioso,rabia
Empalagoso,fastidioso
Grasoso,asco
Reseco,asco
Aguao',terco
Soso,terco
Picante,presumido
Baratón,asco
Costoso,presumido
Enano,terco
Gigante,cool
Flaco,terco
Gordo,cool
Feo,fisico
Bello,cool
Viejo,cansado
Nuevo,cool
Pispo,presumido
Fofo,cansado
Zampao',picaro
Mojoso,terco
Frío,cansado
Caliente,rabia
Ranchero,asco
Zumbón,picaro
Cuántico,fisico
Aerodinámico,fisico
Termonuclear,fisico
Biodegradable,fisico
Inalámbrico,fisico
Retroactivo,terco
Multivitamínico,fisico
Recargable,fisico
Antártico,fisico
Panorámico,fisico
