tipo,texto,flavor
Jerga,"Arrecho","Bravo
Furioso
Encendido"
Jerga,"Chévere","Bueno
Bacano
Genial"
Jerga,"Chimbo","Malo
Corriente
Falso"
Jerga,"Pavoso","Salado
Yeta
Desgraciado"
Jerga,"Ladilla","Fastidioso
Cansón
Molestón"
Jerga,"Sifrino","Fresa
Presumido
Refinado"
Jerga,"Rascado","Borracho
Prendido
Ebrio"
Jerga,"Tieso","Rígido
Duro
Firme"
Jerga,"Burda e' bueno","Buenísimo
Excelente
Brutal"
Jerga,"Jalabola","Adulador
Zalamero
Lambón"
Jerga,"Echao pa' lante","Valiente
Emprendedor
Decidido"
Jerga,"Pelando bola","Desocupado
Misio
Ocioso"
Jerga,"Camburao","Acomodado
Enchufado
Palanqueado"
Jerga,"Enratonado","Resacado
Guayabo
Crudo"
Jerga,"Fino","Bien
Genial
Bacano"
Jerga,"Mamador de gallo","Bromista
Guasón
Cachondo"
Jerga,"Bochinchero","Alborotador
Escandaloso
Peleón"
Jerga,"Aguevoniao'","Distraído
Atontado
Embobado"
Jerga,"Sabroso","Rico
Delicioso
Gustoso"
Jerga,"Cuaima","Celosa
Posesiva
Controladora"
Jerga,"Arrechísimo","Buenísimo
Excelente
Espectacular"
Jerga,"Chimbísimo","Pésimo
Malísimo
Horrible"
Jerga,"Heavy","Pesado
Fuerte
Intenso"
Jerga,"Maluco","Feo
Desagradable
Malo"
Jerga,"Bravo","Molesto
Enojado
Furioso"
Jerga,"Picado","Resentido
Ofendido
Dolido"
Jerga,"Templao'","Suertudo
Afortunado
Bendecido"
Jerga,"Flechao","Enamorado
Hechizado
Encantado"
Jerga,"Mosca","Alerta
Atento
Pendiente"
Jerga,"Avispao","Vivo
Listo
Despierto"
Jerga,"Brutal","Increíble
Espectacular
Bestial"
Jerga,"Pelúo'","Difícil
Complicado
Enredado"
Jerga,"Enrollao","Liado
Complicado
Confundido"
Jerga,"Embarrao'","Metido
Enredado
Comprometido"
Jerga,"Salao'","Desgraciado
Pavoso
Yeta"
Jerga,"Echón","Presumido
Fanfarrón
Creído"
Jerga,"Fanfarrón","Presumido
Jactancioso
Echón"
Jerga,"Tripeao'","Disfrutando
Gozando
Encantado"
Jerga,"Mamao'","Cansado
Agotado
Rendido"
Jerga,"Fundío'","Acabado
Arruinado
Molido"
Jerga,"Quedao'","Lento
Tímido
Despistado"
Jerga,"Cuadrao'","Terco
Rígido
Cerrado"
Jerga,"Pesao'","Antipático
Fastidioso
Cargante"
Jerga,"Emperifollao'","Elegante
Arreglado
Buenmozo"
Jerga,"Tóxico","Dañino
Venenoso
Nocivo"
Jerga,"Intenso","Exagerado
Fuerte
Extremo"
Jerga,"Zumbao'","Loco
Chiflado
Ido"
Jerga,"Despelucao'","Desgreñado
Despeinado
Alborotado"
Jerga,"Fiebrúo'","Obsesionado
Fanático
Apasionado"
Jerga,"Guapetón","Valentón
Bravucón
Fanfarrón"
Jerga,"Jarto","Harto
Fastidiado
Cansado"
Jerga,"Prendío'","Alegre
Achispado
Encendido"
Jerga,"Pelao'","Rapado
Calvo
Mocho"
Jerga,"Sudao'","Empapado
Mojado
Chorreao"
Jerga,"Verraco","Furioso
Bravo
Enardecido"
Jerga,"Full","Lleno
Repleto
Ocupado"
Jerga,"Choreto","Torcido
Chueco
Ladeado"
Jerga,"Cabezón","Terco
Testarudo
Porfiado"
Jerga,"Mamalón","Ocioso
Flojo
Haragán"
Jerga,"Pichirre","Tacaño
Codo
Agarrado"
Jerga,"Encaletao'","Escondido
Guardado
Oculto"
Jerga,"Empatao'","Comprometido
Enganchado
Amarrado"
Jerga,"Mamadisimo","Fornido
Musculoso
Fortachón"
Jerga,"Gafo","Tonto
Bobo
Menso"
